title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,hasFemaleDirector,hasFemaleWriter,primaryDirGender,primaryWriterGender
Miss Jerry,1894,9.0,9779,0,5.4,212.0,45,Romance,,,0,0,M,M
"Story of the Kelly Gang, The",1906,574.0,1349,1,6.0,903.0,70,Action,Adventure,Biography,0,0,M,M
Cleopatra,1912,2101.0,2003,2,5.1,622.0,100,Drama,History,,0,0,M,M
A Florida Enchantment,1914,3973.0,4457,2,5.8,300.0,63,Comedy,,,0,1,M,F
"Birth of a Nation, The",1915,4972.0,1258,2,6.1,26403.0,195,Drama,History,War,0,0,unknown,M
Gretchen the Greenhorn,1916,6745.0,2008,3,6.4,537.0,58,Crime,Drama,Romance,0,0,M,M
Lady Windermere&#39;s Fan,1916,279914.0,2014,3,5.3,66.0,66,Comedy,Drama,,0,0,M,M
Intolerance: Love&#39;s Struggle Throughout the Ages,1916,6864.0,5944,0,7.7,16762.0,163,Drama,History,,0,1,unknown,F
Snow White,1916,7361.0,7004,3,6.3,444.0,63,Fantasy,Romance,,0,0,unknown,unknown
A Tale of Two Cities,1917,8652.0,1981,3,6.1,163.0,70,Drama,History,Romance,0,0,M,M
Rebecca of Sunnybrook Farm,1917,8499.0,1993,3,6.3,895.0,78,Comedy,Drama,,0,1,M,F
"Poor Little Rich Girl, The",1917,8443.0,1994,3,6.7,1550.0,78,Comedy,Drama,Family,0,1,M,F
A Romance of the Redwoods,1917,8519.0,2015,0,6.2,863.0,70,Adventure,Comedy,Drama,0,1,M,M
"Raffles, the Amateur Cracksman",1917,8489.0,2019,2,6.4,190.0,70,Adventure,Crime,Romance,0,0,M,unknown
Tarzan of the Apes,1918,9682.0,1996,3,5.8,935.0,73,Action,Adventure,,0,1,M,M
Stella Maris,1918,9652.0,2007,3,6.9,1582.0,84,Drama,,,0,1,M,M
Ich mochte kein Mann sein,1918,10281.0,7108,3,6.8,1646.0,45,Comedy,Romance,,0,0,M,M
